id;account_name;account_number;swift_code;bank_name
1;Personal Loan Account;Awesome Borders;Re-engineered pixel;Towels Supervisor users
2;Savings Account;Peso Home Romania;Pants Practical;Trace benchmark Handmade
3;Credit Card Account;multi-state;virtual;transmitter Orchestrator Chips
4;Home Loan Account;interface input mindshare;Congo Group Shoes;Home lime
5;Personal Loan Account;Gorgeous;green hour Soft;Avon reboot EXE
6;Credit Card Account;target;Tala Account;Freeway
7;Savings Account;Designer;hub Checking;Program Automotive
8;Personal Loan Account;turquoise Towels niches;mission-critical target;card hard
9;Money Market Account;grey;Profound;Loan
10;Investment Account;JSON Customer;Ergonomic optical Data;Account reboot
