id;primary_phone_number;secondary_phone_number;email_address;physical_address;whatsapp_number
1;"0796233218";"0748806818";neural;Steel Stand-alone;quantify
2;"0712601442";"0760001557";Marketing Distributed;copy;navigate harness firewall
3;"0741043639";"0724023528";Kwacha SAS;Bacon;Borders
4;"0736322802";"0722020732";Croatian connecting line;Music;Fantastic Functionality
5;"0734993346";"0760543688";Steel Clothing;Table parse;driver Nepal interactive
6;"0736671818";"0744523553";quantifying Industrial;blue Table Chicken;Canada
7;"0714302356";"0733448556";Rupee Cambodia Down-sized;Electronics e-business infrastructure;Bedfordshire Keyboard
8;"0751668956";"0759049733";Croatian Iowa;Corporate;PNG markets
9;"0750542687";"0736678032";Cotton;Toys;Soft Chile calculating
10;"0743168951";"0723826519";Indiana;De-engineered bleeding-edge Frozen;Rufiyaa Port
