id;first_name;last_name;initial;date_of_birth;sponsor_id;sponsor_type
1;Dina;Upton;up Money;2023-04-10;Buckinghamshire markets;GROUP
2;Ernestina;Fritsch;Quality Berkshire;2023-04-11;parse Islands connect;INDIVIDUAL
3;Christiana;Jacobi;Technician Legacy;2023-04-11;incubate;CORPORATE
4;Carmen;Douglas;Tasty Planner;2023-04-10;reciprocal;SME
5;Precious;Watsica;Rubber yellow;2023-04-10;user-facing deploy;INDIVIDUAL
6;Cesar;Gerlach;Camp indigo;2023-04-10;Universal Metal bypass;INDIVIDUAL
7;Ova;Wuckert;neural;2023-04-10;Grocery installation Granite;CORPORATE
8;Agustina;Ebert;application Frozen National;2023-04-10;compressing firewall;SME
9;Heloise;Kozey;Sports uniform integrate;2023-04-11;Applications Isle;INDIVIDUAL
10;Leo;Runolfsdottir;Tools neural Radial;2023-04-10;De-engineered Cotton;CORPORATE
