id;first_name;last_name;initial;date_of_birth;gender;national_id
1;Camylle;Friesen;Identity Garden 24/365;2023-04-04;withdrawal Loan incremental;"00-47525Q15"
2;Modesto;Greenholt;magenta bypassing;2023-04-04;Shirt Ameliorated;"90-33655Z22"
3;Guadalupe;Dibbert;Fish online;2023-04-04;SMS Senior;"91-99882w76"
4;Jennyfer;Nienow;Incredible multimedia hardware;2023-04-03;online;"17-32866l06"
5;Allan;Quitzon;programming Metal;2023-04-04;withdrawal;"72-89955Y89"
6;Jaeden;Bailey;Shirt Cambridgeshire;2023-04-04;Specialist overriding Fresh;"89-99606J90"
7;Brenda;Reynolds;European redundant Incredible;2023-04-03;extend Electronics;"43-57485W57"
8;Ena;Wehner;Generic Beauty;2023-04-03;National Field;"51-94919h36"
9;Hardy;Blanda;Steel;2023-04-03;Carolina connect Cliffs;"52-14854g53"
10;Charlie;Stroman;redundant users;2023-04-03;Account;"34-22916X39"
