id;first_name;last_name;initial;date_of_birth;sponsor_id;sponsor_type
1;Dina;Upton;up Money;2023-04-03;Buckinghamshire markets;GROUP
2;Ernestina;Fritsch;Quality Berkshire;2023-04-04;parse Islands connect;INDIVIDUAL
3;Christiana;Jacobi;Technician Legacy;2023-04-04;incubate;CORPORATE
4;Carmen;Douglas;Tasty Planner;2023-04-03;reciprocal;SME
5;Precious;Watsica;Rubber yellow;2023-04-03;user-facing deploy;INDIVIDUAL
6;Cesar;Gerlach;Camp indigo;2023-04-03;Universal Metal bypass;INDIVIDUAL
7;Ova;Wuckert;neural;2023-04-03;Grocery installation Granite;CORPORATE
8;Agustina;Ebert;application Frozen National;2023-04-03;compressing firewall;SME
9;Heloise;Kozey;Sports uniform integrate;2023-04-04;Applications Isle;INDIVIDUAL
10;Leo;Runolfsdottir;Tools neural Radial;2023-04-03;De-engineered Cotton;CORPORATE
